"","Threshold","Ensembling","number_SVM","number_RDA","number_RF","mean_Accuracy","sd_Accuracy","mean_Sensitivity","sd_Sensitivity","mean_Specificity","sd_Specificity"
"1793",0.35,"Rank averaging",4,3,2,69.2483140523055,6.12394249444745,100,0,68.6392694063927,6.0895131932321
"1226",0.35,"Rank averaging",3,2,2,69.0778003179999,5.41912308099433,100,0,68.4634703196347,5.36949121969511
"1415",0.35,"Rank averaging",6,2,2,68.2614178408904,7.04664337674581,100,0,67.634703196347,7.02586463863894
"1289",0.35,"Rank averaging",4,2,2,68.0909041065848,6.3418239632927,100,0,67.458904109589,6.30584266510195
"1352",0.35,"Rank averaging",5,2,2,67.7597456000877,6.33717168993657,100,0,67.12100456621,6.29938506892673
"1037",0.35,"Rank averaging",0,2,2,76.8452217775097,3.42097167453813,92.8571428571429,10.1015254455221,76.5547945205479,3.61302506003537
"53",0.5,"Rank averaging",1,0,0,74.6647294259554,0.590063337335333,92.8571428571429,10.1015254455221,74.3196347031964,0.490777309316693
"1794",0.4,"Rank averaging",4,3,2,73.5336367125391,3.37444894097686,92.8571428571429,10.1015254455221,73.175799086758,3.54844909828317
"1667",0.35,"Rank averaging",2,3,2,73.0352541257744,3.13330610535099,92.8571428571429,10.1015254455221,72.6666666666667,3.29983164553723
"1730",0.35,"Rank averaging",3,3,2,72.2057130325127,2.887510996369,92.8571428571429,10.1015254455221,71.8196347031964,3.04475659661604
"1163",0.35,"Rank averaging",2,2,2,69.7434069850321,5.89675647888996,92.8571428571429,10.1015254455221,69.3150684931507,6.10242838558253
"1751",0.35,"Rank averaging",4,3,0,69.5794725588026,6.12859476780358,92.8571428571429,10.1015254455221,69.148401826484,6.33813064597804
"1856",0.35,"Rank averaging",5,3,2,69.2450243982674,5.65561364326408,92.8571428571429,10.1015254455221,68.8059360730594,5.85381093283658
"1919",0.35,"Rank averaging",6,3,2,69.0778003179999,5.41912308099433,92.8571428571429,10.1015254455221,68.634703196347,5.61165107626584
"1542",0.4,"Rank averaging",0,3,2,79.3108174790285,0.880055043200539,85.7142857142857,20.2030508910442,79.2351598173516,1.27537524460587
"1373",0.35,"Rank averaging",6,2,0,68.9204451998465,6.5876190722747,92.8571428571429,10.1015254455221,68.4771689497717,6.80307757059387
"52",0.45,"Rank averaging",1,0,0,68.7104556170843,0.262853444621131,92.8571428571429,10.1015254455221,68.2465753424657,0.348710193461859
"1310",0.35,"Rank averaging",5,2,0,68.5859970393114,6.1146379477352,92.8571428571429,10.1015254455221,68.134703196347,6.31875785745239
"407",0.35,"Rank averaging",6,0,2,68.2647074949284,7.51497222792919,92.8571428571429,10.1015254455221,67.810502283105,7.74588661217593
"1478",0.35,"Rank averaging",7,2,2,68.2614178408904,7.04664337674581,92.8571428571429,10.1015254455221,67.8059360730594,7.26802449520968
"1668",0.4,"Rank averaging",2,3,2,76.0025220680958,1.30186116082265,85.7142857142857,20.2030508910442,75.8607305936073,1.68866139981992
"1731",0.4,"Rank averaging",3,3,2,75.5074291353693,1.52904717638014,85.7142857142857,20.2030508910442,75.3561643835616,1.91790606404022
"1541",0.35,"Rank averaging",0,3,2,74.8516914304512,2.45640033203463,85.7142857142857,20.2030508910442,74.689497716895,2.86071510562228
"1479",0.4,"Rank averaging",7,2,2,73.7205987170349,6.42091261034684,85.7142857142857,20.2030508910442,73.5456621004566,6.89994151322215
"1437",0.4,"Rank averaging",7,2,0,73.5566642908054,6.65275089926046,85.7142857142857,20.2030508910442,73.37899543379,7.13564377361768
"1857",0.4,"Rank averaging",5,3,2,73.3664126322715,3.13795837870711,85.7142857142857,20.2030508910442,73.175799086758,3.54844909828317
"1815",0.4,"Rank averaging",5,3,0,73.0385437798125,3.60163495653436,85.7142857142857,20.2030508910442,72.8424657534246,4.0198536190742
"1227",0.4,"Rank averaging",3,2,2,76.995997587587,1.31581798089102,82.8571428571429,4.04061017820884,76.8698630136986,1.23017207137933
"1688",0.35,"Rank averaging",3,3,0,72.0417786062832,3.11934928528262,85.7142857142857,20.2030508910442,71.824200913242,3.52261871358231
"1416",0.4,"Rank averaging",6,2,2,71.8910027962059,5.22450297892971,85.7142857142857,20.2030508910442,71.675799086758,5.66976944184281
"51",0.4,"Rank averaging",1,0,0,61.4578650145293,4.84379194262006,92.8571428571429,10.1015254455221,60.8584474885845,4.98526424726954
"1625",0.35,"Rank averaging",2,3,0,71.7204890619003,4.51968356547661,85.7142857142857,20.2030508910442,71.5,4.94974746830583
"1353",0.4,"Rank averaging",5,2,2,71.0581720489062,4.51037901876435,85.7142857142857,20.2030508910442,70.824200913242,4.9368322759554
"1982",0.35,"Rank averaging",7,3,2,70.0712758374911,5.43307990106271,85.7142857142857,20.2030508910442,69.8196347031964,5.87318372136223
"1940",0.35,"Rank averaging",7,3,0,69.9073414112616,5.66491818997634,85.7142857142857,20.2030508910442,69.6529680365297,6.10888598175776
"1814",0.35,"Rank averaging",5,3,0,69.0778003179999,5.41912308099433,85.7142857142857,20.2030508910442,68.8059360730594,5.85381093283658
"1436",0.35,"Rank averaging",7,2,0,68.756510773617,6.81945736118832,85.7142857142857,20.2030508910442,68.4817351598173,7.28093968756011
"1877",0.35,"Rank averaging",6,3,0,68.7466418115028,5.4144708076382,85.7142857142857,20.2030508910442,68.4680365296804,5.84735333666136
