"","Threshold","Ensembling","number_SVM","number_RDA","number_RF","mean_Accuracy","sd_Accuracy","mean_Sensitivity","sd_Sensitivity","mean_Specificity","sd_Specificity"
"491",0.35,"Rank averaging",0,1,0,78.8453314326443,5.32220071940837,85.7142857142857,20.2030508910442,78.6866783120346,5.92560293326779
"1039",0.45,"Rank averaging",0,2,2,86.7766873183837,3.09221102403855,78.5714285714286,30.3045763365663,86.9771076583617,3.8875595766255
"1001",0.65,"Rank averaging",0,2,0,86.1176599594276,3.55123532850966,78.5714285714286,30.3045763365663,86.3025190769514,4.35725218433652
"580",0.6,"Rank averaging",1,1,1,85.622567026701,3.77842134406716,78.5714285714286,30.3045763365663,85.7957157304404,4.58966063728696
"1544",0.5,"Rank averaging",0,3,2,85.4685015625857,5.41524618653089,78.5714285714286,30.3045763365663,85.6382734209801,6.26527682604151
"29",0.35,"Rank averaging",0,0,2,84.966829321783,4.70577449972165,78.5714285714286,30.3045763365663,85.1245747908431,5.5387972563293
"554",0.35,"Rank averaging",1,1,0,74.5600087724108,8.07169427287896,85.7142857142857,20.2030508910442,74.300128711961,8.73888287772379
"2046",0.4,"Rank averaging",0,4,2,84.4783156971325,5.86961821764589,78.5714285714286,30.3045763365663,84.6246667279581,6.73009373194239
"1000",0.6,"Rank averaging",0,2,0,84.3078019628269,5.16479880419277,78.5714285714286,30.3045763365663,84.4499862094328,6.00848986404033
"579",0.55,"Rank averaging",1,1,1,83.6421952957947,4.68716540629714,78.5714285714286,30.3045763365663,83.7685023443964,5.5192944490887
"1505",0.65,"Rank averaging",0,3,0,83.330774713526,7.49248624004125,78.5714285714286,30.3045763365663,83.4501700836628,8.39108281526649
"2006",0.5,"Rank averaging",0,4,0,82.9963265529908,7.01950511550175,78.5714285714286,30.3045763365663,83.1077043302381,7.90676310212502
"999",0.55,"Rank averaging",0,2,0,82.1700751137672,7.24203885770311,78.5714285714286,30.3045763365663,82.2618828721155,8.13429585326531
